,brand,Reg. No.,Engine,Brakes,Tyres,clutch,Body,price
1,1,XZ-11A-0001,8.8,4,7.6,1.4,8.8,30545
2,1,XX-12B-0002,9.4,6.6,2.2,1,4.8,20947
3,1,XY-13C-0003,6.6,2.2,7.8,6.4,4.8,28467
4,1,XZ-14D-0004,2.8,1.4,3.8,1,5,11904
5,1,XX-15E-0005,5.8,4.2,3.8,5.8,6.4,28402
6,1,XY-16F-0006,4.4,8.2,8.6,1.8,4.8,25248
7,1,XZ-17G-0007,5,4,8.2,4.2,4.8,28715
8,1,XX-18H-0008,9,5.6,2.8,8.6,9,34170
9,1,XY-19I-0009,4,6,6,6.2,3.2,27876
10,1,XZ-20J-0010,5.4,5,5.2,4.4,7.8,26958
11,1,XX-21K-0011,4.8,8.6,3.6,3.2,8.2,24643
12,1,XY-22L-0012,4.8,5.4,6.6,3,1.4,22396
13,1,XZ-23M-0013,7.2,4,9,4.2,8,32419
14,1,XX-24N-0014,7,7,2.4,1.6,7.4,22375
15,1,XY-25O-0015,1.6,4.6,7.6,2,2.2,16407
16,1,XZ-26P-0016,9,2,1,8.6,4.6,27294
17,1,XX-27Q-0017,7,2,8.8,3,7.8,27519
18,1,XY-28R-0018,8.8,6.2,2.2,1.2,7,25964
19,1,XZ-29S-0019,7.6,9.2,4.4,2.4,9.8,34342
20,1,XX-30T-0020,9.8,6,9,2.8,7,37579
21,1,XY-31U-0021,6,2.2,9.2,9.4,8,37890
22,1,XZ-32V-0022,4.6,7,2.6,9.4,1.2,23394
23,1,XX-33W-0023,6.4,6.4,8.8,8.4,6.2,36917
24,1,XY-34X-0024,3.6,3.8,3.6,9.4,5.6,22576
25,1,XZ-35Y-0025,4,9.2,3,10,4.8,31019
26,1,XX-36Z-0026,6,3.6,3,3,1,17397
27,1,XY-37A-0027,9.4,5,9.8,9.6,7,41706
28,1,XZ-38B-0028,9.8,4.8,6.8,1.6,5.2,25197
29,1,XX-39C-0029,9,7.4,5.8,3.4,2.2,29443
30,1,XY-40D-0030,4,9,9.8,5,4.8,31602
31,1,XZ-41E-0031,3.4,8,2,5,2.6,17894
32,1,XX-42F-0032,7.2,2.4,8.6,7.4,3.2,30260
33,1,XY-43G-0033,2,3,5.2,2.6,8.2,22210
34,1,XZ-44H-0034,8.4,1.4,1.2,5,8.8,23572
35,1,XX-45I-0035,9.4,3,4.8,9.8,8.2,34989
36,1,XY-46J-0036,6.8,3,1.4,9.2,9.4,29916
37,1,XZ-47K-0037,3.4,9.8,5,8.4,9,39082
38,1,XX-48L-0038,9,1.8,2.4,1.2,4.2,18656
39,1,XY-49M-0039,2.2,2.2,9.2,9.8,9.4,34266
40,1,XZ-50N-0040,1,4.8,5.6,7.4,3,22487
41,1,XX-51O-0041,2.4,10,1.8,8,7.2,28694
42,1,XY-52P-0042,2.6,3.8,3.8,6.6,4.4,22790
43,1,XZ-53Q-0043,7.6,5.4,9.6,3.6,7.2,34542
44,1,XX-54R-0044,6.6,8.6,5.2,1.2,2.4,23683
45,1,XY-55S-0045,3.2,8.4,6.2,9.4,6,31118
46,1,XZ-56T-0046,6.6,2.8,8.2,1.2,6.2,24145
47,1,XX-57U-0047,4.2,7.8,2.6,2.8,2.4,20982
48,1,XY-58V-0048,4.6,9.6,1.8,1.2,7.4,21678
49,1,XZ-59W-0049,9.6,7,2.2,4.8,9.8,32699
50,1,XX-60X-0050,5.2,4.2,6,3.6,2,18764
51,1,XY-61Y-0051,6,4.2,8.6,7.4,3.4,25640
52,1,XZ-62Z-0052,10,7.4,9,3.8,9.6,38033
53,1,XX-63A-0053,5.8,8.8,7.8,5.8,6.4,31206
54,1,XY-64B-0054,9.2,3.2,6.6,1.2,8,27735
55,1,XZ-65C-0055,4,2.8,3,4.2,9,22089
56,1,XX-66D-0056,7.4,5.4,4.8,1.2,2.6,18851
57,1,XY-67E-0057,1.4,5.4,5.4,6,4.4,21447
58,1,XZ-68F-0058,6.2,3.4,2.8,8,8.4,31271
59,1,XX-69G-0059,7.4,3,4.6,8.8,5.6,25890
60,1,XY-70H-0060,5.2,9.6,4,10,5.2,28920
61,1,XZ-71I-0061,1,6.8,6.2,3.8,1.2,19182
62,1,XX-72J-0062,9.6,8,6.8,8.2,3.2,37475
63,1,XY-73K-0063,8.6,3.8,3.6,2.4,5.8,25608
